,Nutrition,Daily_Requirement_LB,Daily_Requirement_UB,Constraint_LB,Constraint_UB
0,Calorie (kcal),1250.0,3000.0,568.1818181818181,1363.6363636363635
1,Total fat (g),59.0,103.0,12.626262626262625,53.030303030303024
2,Saturated fat (g),0.0,22.0,0.0,15.15151515151515
3,Trans fat (g),0.0,2.0,0.0,1.5151515151515151
4,Cholesterol (mg),0.0,300.0,0.0,136.36363636363635
5,Sodium (mg),0.0,2300.0,0.0,1045.4545454545453
6,Total carbs (g),225.0,325.0,102.27272727272727,147.72727272727272
7,Dietary fiber (g),21.0,,9.545454545454545,
8,Sugar (g),0.0,24.0,0.0,34.090909090909086
9,Protein (g) ,27.2,95.18,14.204545454545453,119.3181818181818
